Cell,Pms1,Prrx2,Ets1,Tet2,Crebrf,Gli3,Zhx2,A630089N07Rik,Zfhx4,Pbx3
18_31_50__s2,0.3843164257777383,0.327829512331162,0.5295001763429447,0.48025558769111565,0.4061673353967324,0.4411729468296526,0.6016586961690573,0.3217867570085439,0.49613325688985743,0.3003367766089432
15_46_33__s8,0.2673981886379781,0.5024770487023505,0.5725022842989471,0.5230405311968976,0.5899703136880227,0.4307321589577865,0.6716096067306656,0.23920744597997837,0.5395175282549304,0.2425422816471783
15_96_18__s6,0.2603136540508038,0.5433842095260792,0.5792482089376946,0.5225229949538819,0.6091420665253142,0.45470651446900473,0.683096661460315,0.23538698872482317,0.553394311908635,0.2449375062078597
15_78_89__s1,0.2665566805766267,0.385416336811358,0.5513937731326739,0.5107332886361219,0.5111556617569767,0.37594829757844683,0.5146556509334436,0.24325419632137374,0.5087161007948667,0.250823313884575
13_87_33__s2,0.3648660978416068,0.26790413891570425,0.49118796371213536,0.4310769150620786,0.3485990322899965,0.4177634225513609,0.4478395570540874,0.33823992633486766,0.46003101535190016,0.34035957071734046
13_56_23__s2,0.3508531094858913,0.4615255699680674,0.6507661623071458,0.5043603443979251,0.5534249219059876,0.4576480768598158,0.563899493230833,0.2907770724778261,0.5034569681957096,0.28900171487411613
15_43_24__s1,0.24829237671217036,0.5137354893225664,0.5579707989200926,0.5361043802659874,0.6017395486480521,0.39834536760425415,0.5721249258813427,0.22604099990223697,0.525540309704643,0.2359332929168239
18_19_80__s3,0.4855751171858546,0.37863408527686593,0.4933116782474837,0.41656168376908836,0.39770775377152023,0.5327075015626253,0.43856119379096853,0.4272800017138323,0.4056251620549421,0.39650434211618857
17_79_91__s1,0.25057085528991857,0.5509670324609031,0.6084497232113756,0.5266548888814198,0.6183702889074496,0.41955834508367224,0.6327072638097644,0.22609031336837393,0.5351303053632943,0.23833775256067802
16_76_44__s2,0.4616461683790518,0.29672977924646765,0.5696577159444681,0.4526657561431693,0.3495385911875977,0.4872645592495801,0.43837210905012136,0.3719562971727282,0.46066681159552203,0.33795580998912367
13_33_31__s6,0.2637834701932058,0.5771057922464471,0.5820405786024427,0.5196265870380137,0.612324052580483,0.4489351044313343,0.6764399539961864,0.23371525528300324,0.5414863023898182,0.2454944455082024
18_09_46__s8,0.2567536735121622,0.5394747206072587,0.5688600340913658,0.53979071575335,0.6156255288941895,0.42649952669579494,0.6347645853151948,0.2364737155715233,0.5283123393960943,0.24268169791249738
16_82_66__s5,0.41008607954487913,0.28797118237039715,0.484082231280502,0.45428344101358503,0.39085117466563796,0.4383436729943726,0.4637826432398558,0.3464438329460238,0.4692398087763042,0.3193581984350568
18_29_41__s1,0.37243855199573705,0.31775668721480416,0.5382077300720174,0.4778455303492568,0.4480280632952275,0.4501225219165685,0.4403014975872239,0.3199579650636764,0.4603102906676888,0.3152419507728105
14_54_74__s2,0.2808779783976293,0.5911283861991551,0.5777972266072472,0.5308482295634026,0.5985298127374435,0.48162190100799335,0.6231457873758842,0.2389760191110471,0.5203961408592865,0.24500249810971444
17_60_01__s1,0.2523466023428797,0.5614723229891396,0.5805775267927792,0.5228044286349192,0.604445062547747,0.4419675028055922,0.6747785260593046,0.22733076315363984,0.5447497550657967,0.23862749715475745
13_20_49__s7,0.25957572059321704,0.42094316744601984,0.5537758950891597,0.5278765527934689,0.5534031536988356,0.38996319038869254,0.5797962828070865,0.23226141563739391,0.5173662464398304,0.24013503220100949
17_44_41__s4,0.3943207811669804,0.2957890174435833,0.5563209271538067,0.4734675049219952,0.35706300017317333,0.44922743619472705,0.4861474059805056,0.3247787889463735,0.479582147575692,0.30994037741347796
18_13_79__s4,0.30215303975241153,0.5957778327422668,0.5682555196497139,0.5193207037273282,0.6397824579266043,0.5079545605900965,0.6339954504691125,0.26035584072246165,0.5209754655371847,0.2653616347309702
13_16_93__s7,0.25875141626748643,0.583272406433745,0.576076230790349,0.5408720338342033,0.6205043808636376,0.47407111599434865,0.6572030133459431,0.23382461788083495,0.5505348665375541,0.25086500397676176
17_41_04__s8,0.3565150388342284,0.3094564898003688,0.5218594535045668,0.4639832202333256,0.46050287858879085,0.42819108050568516,0.4881697328617419,0.322203547532033,0.45907393477944997,0.31916378996919453
14_47_70__s5,0.4510034888622017,0.29774854068346585,0.51336342105069,0.42594419219989244,0.30932759492970147,0.48936113871934317,0.5026707499730065,0.3928797157816549,0.4350385331906148,0.36226663243647017
15_55_10__s1,0.25046176854150937,0.5052727323903756,0.5474300451027027,0.5372630680446968,0.5878165473759559,0.39656511167094105,0.5777203887802838,0.22721660824271028,0.5296957502523384,0.23423333674752653
